#airframe_info,"log_version=""1.00""","airframe_name=""Kitfox""","unit_software_part_number=""001""","unit_software_version=""01""","system_software_part_number=""00""","system_id=""123""",mode=NORMAL
#yyyy-mm-dd,hh:mm:ss.ms,hh:mm:ss,rpm,deg F,deg F,deg F,deg F,deg F,deg F,volts,deg F,deg F,deg F,psi,amps,hours,hh:mm:ss
Lcl Date,Lcl Time,UTCOfst,RPM,CHT2,CHT3,EGT1,EGT2,EGT3,EGT4,Volts,Instrument Temp,Coolant Temp,Oil Temp,Oil Pressure,Amps,AUX2,AUX3,AUX4,AUX5,AUX6,tach_hrs,flight_hrs
2012-04-20,16:00:10.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:10.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:10.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:10.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:10.900000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.000000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.100000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.200000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.400000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:11.900000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.000000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.100000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.200000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.400000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:12.900000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.000000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.100000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.200000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.400000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:13.900000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.000000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.100000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.200000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.300000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.400000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.500000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.600000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.700000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.800000,-08:00:00,0,63,63,64,64,63,63,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:14.900000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.000000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.100000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.200000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.300000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.400000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.500000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.600000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.700000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.800000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:15.900000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
2012-04-20,16:00:16.000000,-08:00:00,0,63,63,64,64,63,64,13.4,79,59,77,0,0,0,0,0,0,0,381.1,0.0
